date,name,value,category
2021-01,index,0.0,other
2021-01,code and,51.0,other
2021-01,tackle the,45.0,other
2021-01,code is,125.0,other
2021-01,tackle,140.0,other
2021-01,code is available,86.0,other
2021-01,tabular,44.0,other
2021-01,coding,89.0,other
2021-01,table,13.0,other
2021-01,cognitive,120.0,other
2021-01,systems to,41.0,other
2021-01,collaborative,92.0,other
2021-01,system that,63.0,other
2021-01,collect,42.0,other
2021-01,synthetic data,30.0,other
2021-01,collected from,60.0,other
2021-01,synthetic and,36.0,other
2021-01,collecting,45.0,other
2021-01,synthesize,25.0,other
2021-01,collection of,48.0,other
2021-01,syntactic,46.0,other
2021-01,combinatorial,28.0,other
2021-01,symbolic,34.0,other
2021-01,comments,11.0,other
2021-01,svm,58.0,other
2021-01,commonsense,39.0,other
2021-01,tackle this,35.0,other
2021-01,survey,226.0,other
2021-01,clip,0.0,other
2021-01,clients,48.0,other
2021-01,claims,48.0,other
2021-01,teacher,85.0,other
2021-01,classification accuracy,78.0,other
2021-01,taxonomy,58.0,other
2021-01,classification and,110.0,other
2021-01,taskspecific,26.0,other
2021-01,classification of,120.0,other
2021-01,tasks with,27.0,other
2021-01,classification task,49.0,other
2021-01,tasks such as,78.0,other
2021-01,classification tasks,60.0,other
2021-01,tasks such,78.0,other
2021-01,classifier,265.0,other
2021-01,tasks including,28.0,other
2021-01,classifiers,239.0,other
2021-01,tasks in,57.0,other
2021-01,classify,116.0,other
2021-01,tasks and,68.0,other
2021-01,task of,146.0,other
2021-01,classifying,76.0,other
2021-01,task is,47.0,other
2021-01,clean,59.0,other
2021-01,task in,67.0,other
2021-01,client,16.0,other
2021-01,task and,37.0,other
2021-01,target domain,84.0,other
2021-01,team,70.0,other
2021-01,companies,43.0,other
2021-01,competitive,185.0,other
2021-01,suffers,26.0,other
2021-01,conducted on,38.0,other
2021-01,suffer from,82.0,other
2021-01,confidence,86.0,other
2021-01,suffer,98.0,other
2021-01,consistency,96.0,other
2021-01,success rate,42.0,other
2021-01,consistently,60.0,other
2021-01,success of,51.0,other
2021-01,contents,37.0,other
2021-01,success in,38.0,other
2021-01,contexts,76.0,other
2021-01,success,246.0,other
2021-01,subset of,44.0,other
2021-01,contextual,122.0,other
2021-01,subset,81.0,other
2021-01,contextual information,37.0,other
2021-01,suboptimal,34.0,other
2021-01,continual,97.0,other
2021-01,subjects,70.0,other
2021-01,continual learning,74.0,other
2021-01,subjective,71.0,other
2021-01,contracts,61.0,other
2021-01,styles,46.0,other
2021-01,contrastive,103.0,other
2021-01,conduct extensive,32.0,other
2021-01,surveillance,52.0,other
2021-01,suffers from,23.0,other
2021-01,suite,28.0,other
2021-01,surpasses,10.0,other
2021-01,surgical,22.0,other
2021-01,competitive performance,26.0,other
2021-01,support vector,50.0,other
2021-01,completion,44.0,other
2021-01,supervision,136.0,other
2021-01,complexity and,44.0,other
2021-01,supervised learning,67.0,other
2021-01,compositional,50.0,other
2021-01,supervised,310.0,other
2021-01,comprehension,28.0,other
2021-01,superiority of,57.0,other
2021-01,computational complexity,43.0,other
2021-01,superiority,83.0,other
2021-01,computer vision,182.0,vision
2021-01,superior performance,41.0,other
2021-01,concern,47.0,other
2021-01,superior,117.0,other
2021-01,concerns,107.0,other
2021-01,summary,47.0,other
2021-01,conditional,160.0,other
2021-01,summarization,79.0,other
2021-01,conditioned,25.0,other
2021-01,summaries,45.0,other
2021-01,conduct,172.0,other
